p1_encoder, p1_pressed, p1_pressed_nmz, ,p2_encoder, p2_pressed, p2_pressed_nmz, ,p1_degree, p1_pressed, p1_pressed_nmz, ,p2_degree, p2_pressed, p2_pressed_nmz
4187536,21275,0.998123387, ,4201075,21185,0.994134209, ,88.870077,21275,0.998123387, ,91.420356,21185,0.994134209
4187543,21275,0.998123387, ,4201067,21185,0.994134209, ,88.871583,21275,0.998123387, ,91.41885,21185,0.994134209
4187551,21275,0.998123387, ,4201059,21185,0.994134209, ,88.873089,21275,0.998123387, ,91.417344,21185,0.994134209
4187559,21275,0.998123387, ,4201050,21185,0.994134209, ,88.874595,21275,0.998123387, ,91.415838,21185,0.994134209
4187567,21275,0.998123387, ,4201043,21185,0.994134209, ,88.876101,21275,0.998123387, ,91.414333,21185,0.994134209
4187575,21275,0.998123387, ,4201034,21185,0.994134209, ,88.877606,21275,0.998123387, ,91.412827,21185,0.994134209
4187583,21275,0.998123387, ,4201026,21185,0.994134209, ,88.879112,21275,0.998123387, ,91.411321,21185,0.994134209
4187591,21275,0.998123387, ,4201018,21185,0.994134209, ,88.880618,21275,0.998123387, ,91.409815,21185,0.994134209
4187600,21275,0.998123387, ,4201010,21185,0.994134209, ,88.882124,21275,0.998123387, ,91.408309,21185,0.994134209
4187607,21275,0.998123387, ,4201003,21185,0.994134209, ,88.88363,21275,0.998123387, ,91.406615,21185,0.994134209
4187615,21275,0.998123387, ,4200994,21185,0.994134209, ,88.885135,21275,0.998123387, ,91.405298,21185,0.994134209
4187624,21275,0.998123387, ,4200986,21185,0.994134209, ,88.886641,21275,0.998123387, ,91.403792,21185,0.994134209
4187631,21275,0.998123387, ,4200978,21185,0.994134209, ,88.888147,21275,0.998123387, ,91.402098,21185,0.994134209
4187639,21275,0.998123387, ,4200969,21185,0.994134209, ,88.889653,21275,0.998123387, ,91.400592,21185,0.994134209
4187648,21275,0.998123387, ,4200961,21185,0.994134209, ,88.891159,21275,0.998123387, ,91.399086,21185,0.994134209
4187655,21275,0.998123387, ,4200953,21185,0.994134209, ,88.892853,21275,0.998123387, ,91.397581,21185,0.994134209
4187664,21275,0.998123387, ,4200945,21185,0.994134209, ,88.89417,21275,0.998123387, ,91.396075,21185,0.994134209
4187671,21275,0.998123387, ,4200937,21185,0.994134209, ,88.895676,21275,0.998123387, ,91.394569,21185,0.994134209
4187679,21275,0.998123387, ,4200929,21185,0.994134209, ,88.897182,21275,0.998123387, ,91.393063,21185,0.994134209
4187687,21275,0.998123387, ,4200921,21185,0.994134209, ,88.8985,21275,0.998123387, ,91.391557,21185,0.994134209
4187695,21275,0.998123387, ,4200913,21185,0.994134209, ,88.900005,21275,0.998123387, ,91.390051,21185,0.994134209
4187703,21275,0.998123387, ,4200905,21185,0.994134209, ,88.901511,21275,0.998123387, ,91.388546,21185,0.994134209
4187710,21275,0.998123387, ,4200898,21185,0.994134209, ,88.903017,21275,0.998123387, ,91.38704,21185,0.994134209
4187718,21275,0.998123387, ,4200889,21185,0.994134209, ,88.904523,21275,0.998123387, ,91.385346,21185,0.994134209
4187727,21275,0.998123387, ,4200881,21185,0.994134209, ,88.906029,21275,0.998123387, ,91.384028,21185,0.994134209
4187735,21275,0.998123387, ,4200873,21185,0.994134209, ,88.907723,21275,0.998123387, ,91.382522,21185,0.994134209
4187743,21275,0.998123387, ,4200865,21185,0.994134209, ,88.909228,21275,0.998123387, ,91.381017,21185,0.994134209
4187751,21275,0.998123387, ,4200858,21185,0.994134209, ,88.910734,21275,0.998123387, ,91.379511,21185,0.994134209
4187759,21275,0.998123387, ,4200850,21185,0.994134209, ,88.91224,21275,0.998123387, ,91.378005,21185,0.994134209
4187768,21275,0.998123387, ,4200842,21185,0.994134209, ,88.913746,21275,0.998123387, ,91.376499,21185,0.994134209
4187775,21275,0.998123387, ,4200834,21185,0.994134209, ,88.915252,21275,0.998123387, ,91.374993,21185,0.994134209
4187784,21275,0.998123387, ,4200826,21185,0.994134209, ,88.916757,21275,0.998123387, ,91.373488,21185,0.994134209
4187791,21270,0.997888811, ,4200818,21190,0.994368841, ,88.918263,21270,0.997888811, ,91.371982,21190,0.994368841
4187800,21270,0.997888811, ,4200810,21190,0.994368841, ,88.919769,21270,0.997888811, ,91.370664,21190,0.994368841
4187807,21270,0.997888811, ,4200802,21190,0.994368841, ,88.921275,21270,0.997888811, ,91.369158,21190,0.994368841
4187816,21270,0.997888811, ,4200794,21190,0.994368841, ,88.922781,21270,0.997888811, ,91.367653,21190,0.994368841
4187823,21270,0.997888811, ,4200786,21190,0.994368841, ,88.924287,21270,0.997888811, ,91.366147,21190,0.994368841
4187832,21270,0.997888811, ,4200778,21190,0.994368841, ,88.925792,21270,0.997888811, ,91.364641,21190,0.994368841
4187840,21270,0.997888811, ,4200770,21190,0.994368841, ,88.927486,21270,0.997888811, ,91.363135,21190,0.994368841
